query,country,date,clicks,impressions,ctr,position
camperizar furgoneta,esp,2017-09-01,45.0,195.0,0.23076923076923078,2.353846153846154
micamper,esp,2017-09-01,7.0,8.0,0.875,1.0
citroen jumper camper,esp,2017-09-01,5.0,23.0,0.21739130434782608,3.9130434782608696
mi camper,esp,2017-09-01,4.0,4.0,1.0,1.0
nissan nv200 camper,esp,2017-09-01,4.0,54.0,0.07407407407407407,4.703703703703704
camperizar dacia dokker stepway,esp,2017-09-01,3.0,5.0,0.6,7.4
convertir furgoneta en camper,esp,2017-09-01,3.0,3.0,1.0,1.3333333333333333
fiat scudo camper,esp,2017-09-01,3.0,24.0,0.125,2.375
furgoneta camperizada,esp,2017-09-01,3.0,111.0,0.02702702702702703,6.90990990990991
jumpy camper,esp,2017-09-01,3.0,21.0,0.14285714285714285,7.476190476190476
renault trafic camper 2017,esp,2017-09-01,3.0,12.0,0.25,6.0
alquiler furgonetas camper,esp,2017-09-01,2.0,14.0,0.14285714285714285,8.857142857142858
camperizacion madrid,esp,2017-09-01,2.0,3.0,0.6666666666666666,1.6666666666666665
camperizaciones baratas,esp,2017-09-01,2.0,5.0,0.4,2.8
camperizar furgoneta madrid,esp,2017-09-01,2.0,5.0,0.4,1.0
camperizar renault master,esp,2017-09-01,2.0,3.0,0.6666666666666666,4.0
citroen camper jumpy,esp,2017-09-01,2.0,4.0,0.5,3.5
citroen jumpy camper,esp,2017-09-01,2.0,30.0,0.06666666666666667,5.633333333333334
citroen jumpy camper 2017,esp,2017-09-01,2.0,5.0,0.4,1.8
como adaptar una furgoneta para camping,esp,2017-09-01,2.0,2.0,1.0,6.5
cuanto cuesta camperizar una trafic,esp,2017-09-01,2.0,4.0,0.5,8.75
dacia dokker camper,esp,2017-09-01,2.0,24.0,0.08333333333333333,4.333333333333334
donde camperizar una furgoneta,esp,2017-09-01,2.0,2.0,1.0,1.5
empresas camperizar furgonetas,esp,2017-09-01,2.0,3.0,0.6666666666666666,2.0
kit camper dacia dokker,esp,2017-09-01,2.0,8.0,0.25,2.125
precio camperizar furgoneta,esp,2017-09-01,2.0,13.0,0.15384615384615385,8.461538461538462
renault master camper,esp,2017-09-01,2.0,21.0,0.09523809523809523,3.4761904761904763
transformar furgoneta en camper precio,esp,2017-09-01,2.0,8.0,0.25,4.5
alquiler furgoneta camper,esp,2017-09-01,1.0,4.0,0.25,5.75
caddy camper kit,esp,2017-09-01,1.0,1.0,1.0,3.0
camper renault master,esp,2017-09-01,1.0,1.0,1.0,10.0
camper t4,arg,2017-09-01,1.0,1.0,1.0,1.0
camperizacion de furgonetas,esp,2017-09-01,1.0,15.0,0.06666666666666667,5.4
camperizacion furgonetas,esp,2017-09-01,1.0,4.0,0.25,3.5
camperizacion furgonetas madrid,esp,2017-09-01,1.0,1.0,1.0,1.0
camperizacion renault master,arg,2017-09-01,1.0,1.0,1.0,1.0
camperizacion t5,esp,2017-09-01,1.0,2.0,0.5,11.0
camperizaciones,esp,2017-09-01,1.0,9.0,0.1111111111111111,9.555555555555555
camperizaciones asturias,esp,2017-09-01,1.0,2.0,0.5,3.0
camperizar,esp,2017-09-01,1.0,4.0,0.25,7.0
camperizar dacia dokker,esp,2017-09-01,1.0,6.0,0.16666666666666666,5.666666666666667
camperizar dacia lodgy,esp,2017-09-01,1.0,2.0,0.5,1.0
camperizar evalia,esp,2017-09-01,1.0,2.0,0.5,4.5
camperizar ford transit custom,esp,2017-09-01,1.0,4.0,0.25,8.75
camperizar furgoneta,gbr,2017-09-01,1.0,1.0,1.0,4.0
camperizar furgoneta barcelona,esp,2017-09-01,1.0,2.0,0.5,9.0
camperizar furgonetas,esp,2017-09-01,1.0,7.0,0.14285714285714285,3.7142857142857144
camperizar peugeot boxer,esp,2017-09-01,1.0,3.0,0.3333333333333333,7.333333333333333
caravelle camper,esp,2017-09-01,1.0,1.0,1.0,20.0
citroen jumper camper,fra,2017-09-01,1.0,1.0,1.0,4.0
citroen jumpy 2017 camper,esp,2017-09-01,1.0,8.0,0.125,1.0
como camperizar furgoneta,esp,2017-09-01,1.0,7.0,0.14285714285714285,4.285714285714286
customizar furgoneta,esp,2017-09-01,1.0,1.0,1.0,1.0
dacia dokker camperizada,esp,2017-09-01,1.0,5.0,0.2,4.0
